
THREE-YEARS-Continued.

Arm of service.	 Infantry.	 Cavalry.	 Artillery.	 Hoffman

Battalion.

1861.

893 	 ---	 ---	 ---

49th Regiment

97th Regiment	 ---	 ---	 ---	 ---

98th Regiment	 ---	 ---	 ---	 ---

99th Regiment	 ---	 ---	 ---	 ---

100th Regiment	 ---	 ---	 ---	 ---

101st Regiment	 ---	 ---	 ---	 ---

102nd Regiment	 ---	 --- 	 ---	 ---

103rd Regiment	 ---	 ---	 ---	 ---

104th Regiment	 --- 	 ---	 ---	 ---

105th Regiment	 ---	 ---	 ---	 ---

106th Regiment	 ---	 ---	 ---	 ---

107th Regiment	 ---	 ---	 ---	 ---

108th Regiment	 ---	 ---	 ---	 ---

109th Regiment	 ---	 ---	 ---	 ---

110th Regiment	 ---	 ---	 ---	 ---

111th Regiment	 ---	 ---	 ---	 ---

112th Regiment	 ---	 ---	 ---	 ---

113th Regiment	 ---	 ---	 ---	 ---

114th Regiment	 ---	 ---	 ---	 ---

115th Regiment	 ---	 ---	 ---	 ---

