
RECAPITULATION.

Taken from Indians.

Month.	 Sheep.	 Horses.	 Mules.	 Cattle.	 Burros.
October	 ---	 ---	 ---	 ---	 ---

November	 ---	 ---	 ---	 ---	 ---

November	 ---	 ---	 ---	 ---	 ---

November	 ---	 ---	 ---	 ---	 ---

November	 ---	 ---	 ---	 ---	 ---

November	 ---	 ---	 --- 	 ---	 ---

November	 ---	 ---	 ---	 ---	 ---

November	 ---	 ---	 ---	 ---	 ---

November	 ---	 ---	 ---	 ---	 ---

Citizens. Indians.

Month.	 Killed.	 Wounded.	 Killed.	 Wounded.	 Captured.

1863.	 ---	 ---	 ---	 ---	 248

January

January	 ---	 ---	 ---	 ---	 100

January	 ---	 ---	 20	 15	 ---

January	 ---	 ---	 1	 ---	 ---

January	 ---	 ---	 9	 ---	 ---

January	 ---	 ---	 11	 1	 ---

February	 ---	 ---	 ---	 ---	 ---

February	 ---	 ---	 ---	 ---	 ---

February 25	 ---	 ---	 ---	 ---	 ---

March	 ---	 ---	 ---	 ---	 ---

March	 ---	 ---	 --- 	 ---	 15

March	 7	 ---	 ---	 ---	 ---

March	 ---	 --- 	 28	 ---	 ---

April	 1	 --- 	 3 	 ---	 ---

May	 2	 ---	 ---	 ---	 ---

May	 ---	 ---	 ---	 ---	 ---

May	 ---	 ---	 1	 ---	 ---

May	 ---	 ---	 ---	 ---	 ---

May	 ---	 ---	 11	 ---	 ---

May	 1 	 ---	 50	 50	 10

June	 ---	 ---	 ---	 ---	 ---

June	 ---	 ---	 ---	 ---	 ---

June	 2 	 2	 ---	 --- 	 ---

June	 ---	 ---	 ---	 ---	 ---

July	 ---	 ---	 ---	 ---	 ---

July	 ---	 ---	 4 	 ---	 ---

July	 ---	 ---	 10 	 ---	 ---

July	 ---	 ---	 4 	 ---	 ---

July	 ---	 ---	 6	 ---	 ---

July	 ---	 ---	 2	 ---	 ---

July	 ---	 ---	 ---	 ---	 ---

July	 ---	 ---	 ---	 ---	 9

August	 ---	 ---	 9	 ---	 ---

August	 ---	 ---	 2	 ---	 ---

August	 ---	 ---	 33	 ---	 66

August	 ---	 ---	 3	 1	 15

August	 ---	 ---	 ---	 ---	 ---

August	 ---	 ---	 ---	 ---	 ---

August	 ---	 ---	 ---	 ---	 ---

August	 ---	 ---	 1	 3	 ---

August	 ---	 ---	 1	 2	 ---

August 	 ---	 ---	 1	 1	 ---

August 	 ---	 ---	 ---	 ---	 ---

August	 ---	 ---	 ---	 ---	 ---

August	 ---	 ---	 6	 ---	 14

August	 ---	 ---	 ---	 ---	 ---

September	 ---	 ---	 ---	 ---	 ---

September	 ---	 ---	 11	 ---	 40

September	 ---	 ---	 ---	 ---	 ---

September	 ---	 1	 ---	 ---	 ---

September	 3	 ---	 ---	 ---	 ---

September	 ---	 ---	 8	 ---	 20

September	 ---	 ---	 2	 5	 ---

October	 ---	 ---	 1	 1	 1

October	 ---	 ---	 22	 ---	 51

October	 ---	 ---	 ---	 ---	 2

October	 ---	 ---	 ---	 ---	 ---

October	 ---	 ---	 ---	 ---	 ---

October 16	 ---	 1	 ---	 ---	 ---

October	 ---	 ---	 2	 ---	 ---

October	 ---	 ---	 ---	 ---	 ---

October	 ---	 ---	 ---	 ---	 ---

October	 ---	 ---	 ---	 ---	 ---

October	 ---	 ---	 ---	 ---	 1

November	 ---	 7	 ---	 ---	 42

November	 ---	 1	 ---	 ---	 ---

November	 ---	 1	 4	 ---	 ---

November	 ---	 ---	 ---	 ---	 ---

November	 ---	 ---	 ---	 ---	 ---

November	 ---	 --- 	 2	 2	 3

November	 ---	 --- 	 6	 ---	 3

November	 ---	 ---	 ---	 ---	 ---

Commissioned officers. Enlisted men.

Month.	 Killed.	 Wounded.	 Killed.	 Wounded.

1863.	 ---	 ---	 1	 ---

January

January	 ---	 ---	 ---	 ---

January	 ---	 ---	 1	 1

January	 ---	 ---	 ---	 ---

January	 ---	 ---	 ---	 ---

January	 ---	 ---	 ---	 ---

